0,name,addr,phone,country
1,Apple Pan  The ,10801 W. Pico Blvd. West LA ,310-475-3585, American
2,Arnie Morton's of Chicago ,435 S. La Cienega Blvd. Los Angeles ,310-246-1501, Steakhouses
3,Art's Deli ,12224 Ventura Blvd. Studio City ,818-762-1221, Delis
4,Asahi Ramen ,2027 Sawtelle Blvd. West LA ,310-479-2231, Noodle Shops
5,Baja Fresh ,3345 Kimber Dr. Westlake Village ,805-498-4049, Mexican
6,Bel-Air Hotel ,701 Stone Canyon Rd. Bel Air ,310-472-1211, Californian
7,Belvedere  The ,9882 Little Santa Monica Blvd. Beverly Hills ,310-788-2306, Pacific New Wave
8,Benita's Frites ,1433 Third St. Promenade Santa Monica ,310-458-2889, Fast Food
9,Bernard's ,515 S. Olive St. Los Angeles ,213-612-1580, Continental
10,Bistro ,45 45 S. Mentor Ave. Pasadena ,818-795-2478, Californian
11,Brent's Deli ,19565 Parthenia Ave. Northridge ,818-886-5679, Delis
12,Brighton Coffee Shop ,9600 Brighton Way Beverly Hills ,310-276-7732, Coffee Shops
13,Bristol Farms Market Cafe ,1570 Rosecrans Ave. S. Pasadena ,310-643-5229, Californian
14,Bruno's ,3838 Centinela Ave. Mar Vista ,310-397-5703, Italian
15,Cafe ',50s 838 Lincoln Blvd. Venice ,310-399-1955, American
16,Cafe Bizou ,14016 Ventura Blvd. Sherman Oaks ,818-788-3536, French Bistro
17,Cafe Blanc ,9777 Little Santa Monica Blvd. Beverly Hills ,310-888-0108, Pacific New Wave
18,Campanile ,624 S. La Brea Ave. Los Angeles ,213-938-1447, Californian
19,Cassell's ,3266 W. Sixth St. LA ,213-480-8668, Hamburgers
20,Chez Melange ,1716 PCH Redondo Beach ,310-540-1222, Eclectic
21,Chinois on Main ,2709 Main St. Santa Monica ,310-392-9025, Pacific New Wave
22,Citrus ,6703 Melrose Ave. Los Angeles ,213-857-0034, Californian
23,Diaghilev ,1020 N. San Vicente Blvd. W. Hollywood ,310-854-1111, Russian
24,Don Antonio's ,1136 Westwood Blvd. Westwood ,310-209-1422, Italian
25,Duke's ,8909 Sunset Blvd. W. Hollywood ,310-652-3100, Coffee Shops
26,Falafel King ,1059 Broxton Ave. Westwood ,310-208-4444, Middle Eastern
27,Feast from the East ,1949 Westwood Blvd. West LA ,310-475-0400, Chinese
28,Fenix at the Argyle ,8358 Sunset Blvd. W. Hollywood ,213-848-6677, French (New)
29,Granita ,23725 W. Malibu Rd. Malibu ,310-456-0488, Californian
30,Grill  The ,9560 Dayton Way Beverly Hills ,310-276-0615, American (Traditional)
31,Gumbo Pot  The ,6333 W. Third St. LA ,213-933-0358, Cajun/Creole
32,Hollywood Hills Coffee Shop ,6145 Franklin Ave. Hollywood ,213-467-7678, Coffee Shops
33,Indo Cafe ,10428 1/2 National Blvd. LA ,310-815-1290, Indonesian
34,Jan's Family Restaurant ,8424 Beverly Blvd. LA ,213-651-2866, Coffee Shops
35,JiRaffe ,502 Santa Monica Blvd. Santa Monica ,310-917-6671, Californian
36,Jody Maroni's Sausage Kingdom ,2011 Ocean Front Walk Venice ,310-306-1995, Hot Dogs
37,Joe's ,1023 Abbot Kinney Blvd. Venice ,310-399-5811, American (New)
38,John O'Groats ,10516 W. Pico Blvd. West LA ,310-204-0692, Coffee Shops
39,Johnnie's Pastrami ,4017 S. Sepulveda Blvd. Culver City ,310-397-6654, Delis
40,Johnny Reb's Southern Smokehouse ,4663 Long Beach Blvd. Long Beach ,310-423-7327, Southern/Soul
41,Johnny Rockets (LA) ,7507 Melrose Ave. LA,213-651-3361, American
42,Katsu ,1972 Hillhurst Ave. Los Feliz ,213-665-1891, Japanese
43,Killer Shrimp ,4000 Colfax Ave. Studio City ,818-508-1570, Seafood
44,Kokomo Cafe ,6333 W. Third St. LA ,213-933-0773, American
45,Koo Koo Roo ,8393 W. Beverly Blvd. LA ,213-655-9045, Chicken
46,L'Orangerie ,903 N. La Cienega Blvd. W. Hollywood ,310-652-9770, French (Classic)
47,La Cachette ,10506 Little Santa Monica Blvd. Century City ,310-470-4992, French (New)
48,La Salsa (LA) ,22800 PCH Malibu,310-456-6299, Mexican
49,La Serenata de Garibaldi ,1842 E. First St. Boyle Hts. ,213-265-2887, Mexican/Tex-Mex
50,Langer's ,704 S. Alvarado St. LA ,213-483-8050, Delis
51,Le Chardonnay (Los Angeles) ,8284 Melrose Ave. Los Angeles,213-655-8880, French Bistro
52,LoCal NoChol ,30869 Thousand Oaks Blvd. Westlake Village ,818-706-7706, Health Food
53,Locanda Veneta ,8638 W. Third St. Los Angeles ,310-274-1893, Italian
54,Main Course  The ,10509 W. Pico Blvd. Rancho Park ,310-475-7564, American
55,Mani's Bakery & Espresso Bar ,519 S. Fairfax Ave. LA ,213-938-8800, Desserts
56,Martha's ,22nd Street Grill 25 22nd St. Hermosa Beach ,310-376-7786, American
57,Matsuhisa ,129 N. La Cienega Blvd. Beverly Hills ,310-659-9639, Seafood
58,Maxwell's Cafe ,13329 Washington Blvd. Marina del Rey ,310-306-7829, American
59,Michael's (Los Angeles) ,1147 Third St. Santa Monica,310-451-0843, Californian
60,Mishima ,8474 W. Third St. LA ,213-782-0181, Noodle Shops
61,Mo Better Meatty Meat ,7261 Melrose Ave. LA ,213-935-5280, Hamburgers
62,Mulberry St. ,17040 Ventura Blvd. Encino ,818-906-8881, Pizza
63,Ocean Park Cafe ,3117 Ocean Park Blvd. Santa Monica ,310-452-5728, American
64,Ocean Star ,145 N. Atlantic Blvd. Monterey Park ,818-308-2128, Seafood
65,Original Pantry Bakery ,875 S. Figueroa St. Downtown LA ,213-627-6879, Diners
66,Palm  The (Los Angeles) ,9001 Santa Monica Blvd. W. Hollywood,310-550-8811, Steakhouses
67,Parkway Grill ,510 S. Arroyo Pkwy. Pasadena ,818-795-1001, Californian
68,Patina ,5955 Melrose Ave. Los Angeles ,213-467-1108, Californian
69,Philippe The Original ,1001 N. Alameda St. Chinatown ,213-628-3781, Cafeterias
70,Pho Hoa ,642 Broadway Chinatown ,213-626-5530, Vietnamese
71,Pink's Famous Chili Dogs ,709 N. La Brea Ave. LA ,213-931-4223, Hot Dogs
72,Pinot Bistro ,12969 Ventura Blvd. Studio City ,818-990-0500, French Bistro
